"peakId","pvalue","correlation","adjCorrelation"
"hg38:chr3:41961931-41962432",0.799912186136558,0.000400181803921113,-0.00580851271903589
"hg38:chr18:79679228-79679729",0.00020849288216338,0.0821174652205379,0.0764163314641435
"hg38:chr17:17693543-17694044",0.029075126707903,0.0292406073767609,0.023211045931896
"hg38:chr7:44114858-44115359",2.97106547508918e-05,0.102940819088757,0.0973690229340284
"hg38:chr5:172006738-172007239",0.0936772134868401,0.0173553775442073,0.0112519947960347
"hg38:chr1:827349-827850",0.93716370476894,3.87217344503691e-05,-0.00617221788210581
"hg38:chr17:57597729-57598230",0.0322531247514704,0.0281624099648283,0.0221261516416285
"hg38:chr11:43923605-43924106",0.275364181489112,0.00738580048074552,0.00122049489366934
"hg38:chr5:115543805-115544306",0.94151032823764,3.35407571825828e-05,-0.0061774310393566
"hg38:chr4:6271590-6272091",0.932600960211268,4.45631022879763e-05,-0.00616634023248046
"hg38:chr7:24652528-24653029",0.0144631890256565,0.0365767401002596,0.0305927446971556
"hg38:chr7:95478667-95479168",0.148399327753676,0.0129288442013348,0.00679796745724365
"hg38:chr2:46915847-46916348",0.106858377657155,0.0160692135833904,0.00995784223918784
"hg38:chr15:29139737-29140238",0.00956363157604641,0.0409707881501889,0.0350140849709974
"hg38:chr21:16534312-16534813",0.455895983424139,0.00345786130193489,-0.00273184142289788
"hg38:chr19:29844234-29844735",8.73384034927494e-13,0.2726981344072,0.268180731515319
"hg38:chr19:34926691-34927192",0.0217511664731507,0.0322746071448345,0.026263890419026
"hg38:chr2:132595658-132596159",0.00473627254867305,0.0484880819308638,0.0425780700173909
"hg38:chr1:230864811-230865312",8.22419251706073e-15,0.313084156592953,0.308817598559369
"hg38:chr11:35953330-35953831",0.00866795114051372,0.042019284342425,0.0360690935619433
"hg38:chrX:48801700-48802201",0.000385258636543682,0.0755140605289561,0.0697719118365894
"hg38:chr14:71721775-71722276",9.86803532556925e-06,0.114603897227603,0.109104542551998
"hg38:chr7:34058990-34059491",0.085147232113241,0.018296460312289,0.0121989227987008
"hg38:chr20:62802282-62802783",0.649913437400881,0.00128271685241394,-0.00492049608639095
"hg38:chr15:86916575-86917076",0.000809696186019695,0.0675109941368922,0.0617191369576181
"hg38:chr19:4373433-4373934",0.0721291305029744,0.0199470217203161,0.0138597361409392
"hg38:chr3:51350676-51351177",3.21213739860911e-06,0.126377239202693,0.120951010874759
"hg38:chr15:25345842-25346343",0.000157035731033386,0.0851602023075224,0.0794779675392461
"hg38:chr14:88792733-88793234",0.000217834900408314,0.0816465727412935,0.0759425141868916
"hg38:chr12:38469708-38470209",0.0105002327432976,0.0399758670491937,0.0340129842358346
"hg38:chr12:4307711-4308212",3.68289940188348e-05,0.100657370410836,0.0950713913450648
