"peakId","pvalue","correlation","adjCorrelation"
"mm10:chr19:5117338-5117839",5.68764807420873e-05,0.0960270398605862,0.0904123009777327
"mm10:chr7:44952636-44953137",0.00933064965308362,0.0412336304919364,0.0352785598738737
"mm10:chr3:84375752-84376253",0.164007349497843,0.0119951890309615,0.00585851318643341
"mm10:chr16:25058798-25059299",0.000737683265307547,0.0685151964256938,0.0627295765277167
"mm10:chr12:91400152-91400653",0.0867048879145829,0.0181172581592319,0.0120186075887923
"mm10:chr8:126666342-126666843",0.513053111971841,0.0026620753070257,-0.00353257018796175
"mm10:chr12:76955093-76955594",0.21016249354849,0.00973606405514676,0.00358535637847058
"mm10:chr6:146271050-146271551",0.00892367088848962,0.0417091359398723,0.0357570187717969
"mm10:chr2:127508208-127508709",4.52098870615983e-10,0.215091566923436,0.210216359264575
"mm10:chr6:125146682-125147183",0.0011488985079759,0.0637381157429015,0.0579228245363356
"mm10:chr12:98046400-98046901",0.0111940336981007,0.039295280326958,0.033328170266877
"mm10:chr10:27103650-27104151",0.847657740692034,0.000229912740843278,-0.00597983935393408
"mm10:chr1:64020872-64021373",0.656901507595347,0.00122857987748207,-0.0049749693158255
"mm10:chr9:43270895-43271396",2.46692657859639e-16,0.342016428183393,0.33792957370006
"mm10:chr14:34196676-34197177",0.786293846213035,0.000457896000310372,-0.00575044004937726
"mm10:chr7:107594879-107595380",0.563222364787422,0.00207978873114128,-0.00411847345065282
"mm10:chr7:30231692-30232193",1.47688555551037e-12,0.268011988521637,0.263465479133572
"mm10:chr5:33652405-33652906",0.100401217568862,0.0166764158134973,0.0105688159117178
"mm10:chr2:32756940-32757441",0.000101890970504997,0.089796053534934,0.0841426128736604
"mm10:chr15:81745668-81746169",0.543644339943676,0.00229533679579613,-0.00390158657814298
"mm10:chr10:79668902-79669403",0.000182295423706352,0.0835594475130935,0.0778672701684543
"mm10:chr5:24383290-24383791",0.00852163905763595,0.0422009320028224,0.0362518694686784
"mm10:chr12:99374239-99374740",0.0122357795846001,0.0383498698916007,0.0323768877170142
"mm10:chr17:47139722-47140223",0.223603996095096,0.00918546422020823,0.00303133666878089
"mm10:chr2:58532177-58532678",0.0879603496192682,0.0179753170701822,0.0118757848780714
"mm10:chr17:26507314-26507815",0.153374431375764,0.0126196849161278,0.00648688792802927
"mm10:chr2:30010693-30011194",0.47812678722955,0.00312985828213921,-0.00306188172853075
"mm10:chrX:133688293-133688794",0.441682702446488,0.00368107979458032,-0.0025072364799876
"mm10:chr15:97780753-97781254",0.871245588081807,0.000163654351894139,-0.00604650928567177
"mm10:chrX:71364584-71365085",0.00661790998610222,0.0449028533366049,0.0389705729225465
"mm10:chr5:35582675-35583176",0.000281490465777349,0.0788908399259651,0.0731696650186728
"mm10:chr18:38296401-38296902",0.00131378659301738,0.0622920309183278,0.0564677578184417
"mm10:chr3:61002488-61002989",0.990097323697445,9.59776231839052e-07,-0.00621021438664868
"mm10:chr9:45954316-45954817",1.0588479366898e-11,0.250185917264917,0.24552868693737
"mm10:chr18:73988673-73989174",0.0987125876568702,0.0168422024099228,0.0107356322385559
"mm10:chr12:99498856-99499357",0.804625473946406,0.000381169219589763,-0.00582764339395312
"mm10:chr5:123143556-123144057",0.142430963250346,0.0133154085991412,0.0071869328761545
"mm10:chr5:124176578-124177079",9.84940232270467e-07,0.138655221316298,0.133305253746834
"mm10:chr14:105898723-105899224",0.195147968490312,0.0104022554268663,0.00425568558479715
"mm10:chr12:8325339-8325840",5.22171261166968e-11,0.235450038793623,0.230701281270602
"mm10:chr6:39871240-39871741",0.845418896509043,0.000236806145662107,-0.00597290313293622
"mm10:chr16:76371830-76372331",0.127507839129085,0.014366621124655,0.00824467467201319
"mm10:chr8:124563656-124564157",0.000142082527693437,0.0862334917396823,0.0805579233653945
"mm10:chr5:137785595-137786096",0.94340285612322,3.14017841552145e-05,-0.00617958329793071
"mm10:chr13:46929580-46930081",0.172837972997283,0.0115104364752838,0.00537074974531659
"mm10:chr10:116581282-116581783",1.61236488747299e-07,0.157193220694766,0.151958395978585
"mm10:chr17:29358829-29359330",3.96840944106855e-05,0.0998627913412574,0.094271877001762
"mm10:chr19:53312336-53312837",0.0423092641209012,0.0253597644218159,0.0193060983623241
"mm10:chr6:30693587-30694088",0.0696716142923262,0.0202940903040432,0.0142089604301552
"mm10:chr9:21424620-21425121",0.0117487746645566,0.0387812282876124,0.0328109253577218
"mm10:chr14:60398826-60399327",0.0293667449866444,0.0291367226853555,0.0231065159939603
"mm10:chr10:80151559-80152060",0.000604367345482593,0.0706638022410229,0.0648915277207809
"mm10:chr1:165302847-165303348",4.66335191697148e-07,0.146352924335826,0.141050768586359
"mm10:chr19:29806283-29806784",0.371497673099965,0.00496361455865316,-0.00121673566147942
